blon-r0-0
This is a note to me
times,4,,15,30,45,60,
windows,8,,20140610T090000,20140610T10000,20140610T100000,20140610T110000,20140610T110000,20140610T120000,20140610T120000,20140610T130000,20140610T130000,20140610T140000,20140610T140000,20140610T150000,20140610T150000,20140610T160000,20140610T160000,20140610T170000,

GIS,TfL
						
Depot Section
						
Depot,SE13 7TW,This is the location from which all vehicles start/finish				
CommenceTime,20140610T090000	This is the start time for all vehicles				
						
Customer Section						
	Name,Location,Window Start,Window End,Visit length (mins)	
Visit,v56,SE2 0EF,20140610T140000,20140610T150000,45
Visit,v57,W3 7JU,20140610T100000,20140610T110000,45
Visit,v58,SE1 6TJ,20140610T100000,20140610T110000,30
Visit,v59,SE25 4XL,20140610T120000,20140610T130000,45
Visit,v60,SW11 4LG,20140610T130000,20140610T140000,30
Visit,v61,SE16 5QU,20140610T120000,20140610T130000,15
Visit,v62,SE1 1GE,20140610T150000,20140610T160000,60
Visit,v63,E6 9SN,20140610T100000,20140610T110000,60
Visit,v64,N1 9JP,20140610T140000,20140610T150000,60
Visit,v65,SW2 1QA,20140610T100000,20140610T110000,30
Visit,v66,NW6 3AA,20140610T140000,20140610T150000,45
Visit,v67,SE14 6EB,20140610T140000,20140610T150000,30
Visit,v68,SE24 0EF,20140610T100000,20140610T110000,15
Visit,v69,SW1P 4PX,20140610T160000,20140610T170000,30
Visit,v70,SW17 9AG,20140610T100000,20140610T110000,60
Visit,v71,SE15 6TE,20140610T100000,20140610T110000,45
Visit,v72,SE17 3RD,20140610T120000,20140610T130000,30
Visit,v73,SE1 2SS,20140610T130000,20140610T140000,30
Visit,v74,SE25 4DQ,20140610T140000,20140610T150000,45
Visit,v75,IG11 0RD,20140610T100000,20140610T110000,30
Visit,v76,SW18 9SL,20140610T130000,20140610T140000,60
Visit,v77,NW4 2DH,20140610T130000,20140610T140000,60
Visit,v78,SM6 8SW,20140610T150000,20140610T160000,60
Visit,v79,SE22 8RP,20140610T090000,20140610T10000,30
Visit,v80,E11 1DZ,20140610T090000,20140610T10000,60
Visit,v81,SE5 8PF,20140610T160000,20140610T170000,60
Visit,v82,SE20 8LB,20140610T130000,20140610T140000,45
Visit,v83,SE25 4TY,20140610T150000,20140610T160000,45
Visit,v84,SE9 5TG,20140610T130000,20140610T140000,15
Visit,v85,SE17 1TS,20140610T150000,20140610T160000,15
Visit,v86,N1 9JJ,20140610T110000,20140610T120000,60
Visit,v87,SW1H 9EU,20140610T110000,20140610T120000,30
Visit,v88,SE3 7DF,20140610T150000,20140610T160000,45
Visit,v89,SE4 1QR,20140610T100000,20140610T110000,30
Visit,v90,SW9 6LW,20140610T090000,20140610T10000,30
Visit,v91,SE22 8HA,20140610T120000,20140610T130000,30
Visit,v92,SE7 8NE,20140610T090000,20140610T10000,45
Visit,v93,SE15 4DA,20140610T150000,20140610T160000,45
Visit,v94,E18 2DB,20140610T120000,20140610T130000,60
Visit,v95,SE15 4HA,20140610T160000,20140610T170000,60
Visit,v96,W2 1EB,20140610T140000,20140610T150000,15
Visit,v97,E3 5AT,20140610T100000,20140610T110000,45
Visit,v98,SE28 8LW,20140610T100000,20140610T110000,60
Visit,v99,SE21 8BX,20140610T150000,20140610T160000,15
Visit,v100,SE9 2LL,20140610T160000,20140610T170000,30
Visit,v101,SE15 5SZ,20140610T130000,20140610T140000,45
Visit,v102,SE19 2QJ,20140610T160000,20140610T170000,15
Visit,v103,N13 4HP,20140610T160000,20140610T170000,45
Visit,v104,SE12 8SS,20140610T110000,20140610T120000,30
Visit,v105,SE12 8BP,20140610T150000,20140610T160000,60
Visit,v106,E7 0AF,20140610T120000,20140610T130000,60
Visit,v107,NW6 2QT,20140610T120000,20140610T130000,45
Visit,v108,SE9 5DL,20140610T150000,20140610T160000,60
Visit,v109,W5 5RN,20140610T140000,20140610T150000,15
