Depot Name,Location,x,y,commenceTime
DEPOT,SE13 7TW,51.465336,-0.021253,20140610T090000


Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
Distance,108.02624105999999
Cost,218.94275290866665

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v82,SE15 2UJ,51.475983,-0.062179,20140610T090000,20140610T170000,30.0,Car
v81,IG11 0RJ,51.5312,0.120679,20140610T090000,20140610T170000,30.0,Car
v80,IG11 0RD,51.529397,0.108902,20140610T090000,20140610T170000,30.0,Car
v63,W5 5JY,51.51279,-0.302995,20140610T090000,20140610T170000,30.0,Car
v61,W5 5RN,51.50431,-0.304247,20140610T090000,20140610T170000,30.0,Car
v69,N13 4HP,51.616427,-0.121825,20140610T090000,20140610T170000,30.0,Car
v74,N1 9JP,51.651933,-0.077091,20140610T090000,20140610T170000,30.0,Car
v60,W2 1EB,51.566901,-0.209532,20140610T090000,20140610T170000,30.0,Car
v72,W6 9RH,51.535984,-0.194754,20140610T090000,20140610T170000,30.0,Car
v64,SW1H 9HP,51.501001,-0.130911,20140610T090000,20140610T170000,30.0,Car
v4,SE1 1GE,51.503839,-0.092121,20140610T090000,20140610T170000,30.0,Car
Route Name,Route4
Time,562.6807536599999
Emissions,56.431105127
Distance,91.908897695
Cost,209.96935441812667

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v99,SW2 2AD,51.450971,-0.121039,20140610T090000,20140610T170000,30.0,Car
v95,SW1P 4BB,51.492146,-0.131072,20140610T090000,20140610T170000,30.0,Car
v97,SW1V 1NP,51.492683,-0.144462,20140610T090000,20140610T170000,30.0,Car
v92,NW4 2JT,51.588442,-0.211572,20140610T090000,20140610T170000,30.0,Car
v94,NW6 3AA,51.541873,-0.190584,20140610T090000,20140610T170000,30.0,Car
v93,NW6 2QT,51.546726,-0.199738,20140610T090000,20140610T170000,30.0,Car
v96,SW1P 4PX,51.489465,-0.130389,20140610T090000,20140610T170000,30.0,Car
v98,SW2 1QA,51.456114,-0.109283,20140610T090000,20140610T170000,30.0,Car
v44,SE23 3NA,51.445051,-0.052005,20140610T090000,20140610T170000,30.0,Car
v30,SE19 2QJ,51.411828,-0.084536,20140610T090000,20140610T170000,30.0,Car
v6,SE19 3NF,51.422435,-0.105294,20140610T090000,20140610T170000,30.0,Car
v36,SE26 6HP,51.426178,-0.061956,20140610T090000,20140610T170000,30.0,Car
Route Name,Route5
Time,553.26526544
Emissions,55.087507386
Distance,76.339779853
Cost,203.08064317121335

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v85,W6 9RW,51.488684,-0.22657,20140610T090000,20140610T170000,30.0,Car
v84,W1U 4ED,51.518776,-0.153376,20140610T090000,20140610T170000,30.0,Car
v67,SW9 6LW,51.472675,-0.1124,20140610T090000,20140610T170000,30.0,Car
v66,SW12 8LH,51.445845,-0.159572,20140610T090000,20140610T170000,30.0,Car
v83,SW17 0JZ,51.43594,-0.184673,20140610T090000,20140610T170000,30.0,Car
v65,SW18 9SL,51.457384,-0.190862,20140610T090000,20140610T170000,30.0,Car
v70,SW17 9AG,51.423335,-0.165208,20140610T090000,20140610T170000,30.0,Car
v68,SM5 4PB,51.350379,-0.170508,20140610T090000,20140610T170000,30.0,Car
v9,SE19 3DX,51.414883,-0.094835,20140610T090000,20140610T170000,30.0,Car
v47,SE25 4XL,51.399524,-0.07999,20140610T090000,20140610T170000,30.0,Car
v45,SE25 4DQ,51.403127,-0.072679,20140610T090000,20140610T170000,30.0,Car
v46,SE21 8BX,51.431052,-0.089875,20140610T090000,20140610T170000,30.0,Car
Route Name,Route6
Time,578.8668594650001
Emissions,67.51578648499999
Distance,86.452409499
Cost,212.31714484480003

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v51,SE4 1YB,51.465709,-0.026866,20140610T090000,20140610T170000,30.0,Car
v21,SE4 1QR,51.463509,-0.035628,20140610T090000,20140610T170000,30.0,Car
v24,SE25 4TY,51.401113,-0.067804,20140610T090000,20140610T170000,30.0,Car
v3,SE20 8LB,51.411851,-0.059126,20140610T090000,20140610T170000,30.0,Car
v39,SE26 6BP,51.424959,-0.064942,20140610T090000,20140610T170000,30.0,Car
v40,SE12 9QB,51.435783,0.026763,20140610T090000,20140610T170000,30.0,Car
v26,SE12 9ET,51.44304,0.020551,20140610T090000,20140610T170000,30.0,Car
v38,SE28 8LW,51.508975,0.117888,20140610T090000,20140610T170000,30.0,Car
v33,SE2 0EF,51.498497,0.10445,20140610T090000,20140610T170000,30.0,Car
v37,SE18 7BZ,51.490921,0.071372,20140610T090000,20140610T170000,30.0,Car
v28,SE9 5QR,51.44146,0.050412,20140610T090000,20140610T170000,30.0,Car
v29,SE9 2LL,51.446535,0.08289,20140610T090000,20140610T170000,30.0,Car
v31,SE12 8BP,51.451997,0.026286,20140610T090000,20140610T170000,30.0,Car
Route Name,Route7
Time,544.5600869030001
Emissions,47.025920938
Distance,61.05123433
Cost,197.38238050240668

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v87,E18 2DB,51.584378,0.016379,20140610T090000,20140610T170000,30.0,Car
v35,SE17 1TS,51.490383,-0.084199,20140610T090000,20140610T170000,30.0,Car
v8,SE16 5QU,51.504227,-0.048517,20140610T090000,20140610T170000,30.0,Car
v73,E6 9SN,51.532761,0.055219,20140610T090000,20140610T170000,30.0,Car
v75,E7 0AF,51.55368,0.019868,20140610T090000,20140610T170000,30.0,Car
v76,E7 8DT,51.544112,0.034429,20140610T090000,20140610T170000,30.0,Car
v71,E6 6AQ,51.525592,0.063488,20140610T090000,20140610T170000,30.0,Car
v78,E3 5AA,51.527185,-0.034503,20140610T090000,20140610T170000,30.0,Car
v79,E3 5AT,51.527998,-0.035217,20140610T090000,20140610T170000,30.0,Car
v25,SE16 7PF,51.496001,-0.039446,20140610T090000,20140610T170000,30.0,Car
v23,SE14 6EB,51.481142,-0.035014,20140610T090000,20140610T170000,30.0,Car
v42,SE7 8NE,51.491891,0.035502,20140610T090000,20140610T170000,30.0,Car
v48,SE3 7DF,51.475516,0.022994,20140610T090000,20140610T170000,30.0,Car
Route Name,Route8
Time,619.8941334460002
Emissions,66.172188752
Distance,90.80818271999999
Cost,232.4120883288

Visit Name,Location,x,y,windowStart,windowEnd,visitLength,Transport Mode
v86,N1 9JJ,51.651933,-0.077091,20140610T090000,20140610T170000,30.0,Car
v49,SE1 6TJ,51.494747,-0.098768,20140610T090000,20140610T170000,30.0,Car
v32,SE1 2SS,51.506106,-0.087199,20140610T090000,20140610T170000,30.0,Car
v53,SE11 6PT,51.492973,-0.115869,20140610T090000,20140610T170000,30.0,Car
v62,SW1H 9EU,51.499117,-0.136824,20140610T090000,20140610T170000,30.0,Car
v55,W1H 7JB,51.514839,-0.158666,20140610T090000,20140610T170000,30.0,Car
v56,W3 7TB,51.558951,-0.19246,20140610T090000,20140610T170000,30.0,Car
v58,W1T 3QG,51.51701,-0.137794,20140610T090000,20140610T170000,30.0,Car
v59,W1J 8PD,51.507805,-0.144827,20140610T090000,20140610T170000,30.0,Car
v57,W1J 5HQ,51.507122,-0.146599,20140610T090000,20140610T170000,30.0,Car
v10,SE24 0EF,51.454033,-0.104576,20140610T090000,20140610T170000,30.0,Car
v50,SE15 4DA,51.462937,-0.077042,20140610T090000,20140610T170000,30.0,Car
v27,SE15 4HA,51.463758,-0.0668,20140610T090000,20140610T170000,30.0,Car
v41,SE14 5TJ,51.469307,-0.046235,20140610T090000,20140610T170000,30.0,Car
Route Name,Route9
Time,654.2757658539999
Emissions,82.967160511
Distance,92.53892750499998
Cost,245.82916276307998

